Date,Total Market,Mega Cap,Large Cap,Mid Cap,Small/Mid Cap,Small Cap,Micro Cap,Total Market Australian Hedged,Total Market AUD,Total Market Canadian Hedged,Total Market CAD
2022-12-30,-5.87%,-5.98%,-5.87%,-5.35%,-5.61%,-5.95%,-5.12%,-5.97%,-7.04%,-5.94%,-5.27%
2023-01-31,6.90%,6.08%,6.42%,7.95%,8.88%,10.14%,10.15%,6.51%,2.88%,6.77%,5.03%
2023-02-28,-2.33%,-2.25%,-2.33%,-2.70%,-2.53%,-2.30%,-2.65%,-2.50%,2.06%,-2.39%,0.14%
2023-03-31,2.63%,4.71%,3.66%,-1.11%,-2.20%,-3.63%,-7.80%,2.53%,3.34%,2.57%,1.63%
2023-04-28,1.05%,1.83%,1.39%,-0.76%,-0.94%,-1.18%,-2.79%,0.98%,2.41%,1.00%,1.29%
2023-05-31,0.42%,1.39%,0.71%,-2.65%,-2.37%,-1.99%,0.71%,0.31%,2.54%,0.33%,0.58%
2023-06-30,6.84%,6.27%,6.62%,8.43%,8.54%,8.71%,6.85%,6.57%,3.87%,6.57%,4.24%
2023-07-31,3.57%,3.35%,3.38%,3.54%,4.14%,4.94%,5.29%,3.42%,2.31%,3.49%,3.08%
2023-08-31,-1.94%,-1.27%,-1.66%,-3.59%,-3.64%,-3.71%,-5.86%,-2.08%,2.03%,-2.04%,0.45%
2023-09-29,-4.79%,-4.61%,-4.65%,-4.89%,-5.21%,-5.63%,-6.94%,-4.92%,-4.45%,-4.84%,-4.31%
